Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7, C9",0805,3,4.7uF,
"C10, C11, C12, C2, C3, C4, C8",0805,7,100nF,
"C13, C14",0805,2,20pF,
C5,0805,1,1uF,
C6,0805,1,10nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D4, D5, D6, D7, D8, D9",D_SOD-323_HandSoldering,33,D,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,Plug_3.5mm_CUI_SP-3541,1,AudioJack4,
J3,Harwin_M20-89010xx_1x10_P2.54mm_Horizontal,1,Conn_ARM_JTAG_SWD_10,
"R1, R2",0805,2,5.1K,
R3,0805,1,10K,
R4,0805,1,390,
SW1,SW_SPST_CK_RS282G05A3,1,SW_RESET,
SW10,SW_Cherry_MX_1.00u_Plate,1,tab,
SW11,SW_Cherry_MX_1.00u_Plate,1,q,
SW12,SW_Cherry_MX_1.00u_Plate,1,w,
SW13,SW_Cherry_MX_1.00u_Plate,1,e,
SW14,SW_Cherry_MX_1.00u_Plate,1,r,
SW15,SW_Cherry_MX_1.00u_Plate,1,t,
SW16,SW_Cherry_MX_1.00u_Plate,1,[,
SW17,SW_Cherry_MX_1.00u_Plate,1,caps,
SW18,SW_Cherry_MX_1.00u_Plate,1,a,
SW19,SW_Cherry_MX_1.00u_Plate,1,s,
SW2,SW_SPST_CK_RS282G05A3,1,SW_BOOT,
SW20,SW_Cherry_MX_1.00u_Plate,1,d,
SW21,SW_Cherry_MX_1.00u_Plate,1,f,
SW22,SW_Cherry_MX_1.00u_Plate,1,g,
SW23,SW_Cherry_MX_1.00u_Plate,1,->,
SW24,SW_Cherry_MX_2.00u_Plate,1,z,
SW25,SW_Cherry_MX_1.00u_Plate,1,z,
SW26,SW_Cherry_MX_1.00u_Plate,1,x,
SW27,SW_Cherry_MX_1.00u_Plate,1,c,
SW28,SW_Cherry_MX_1.00u_Plate,1,v,
SW29,SW_Cherry_MX_1.00u_Plate,1,b,
SW3,SW_Cherry_MX_1.00u_Plate,1,`,
SW30,SW_Cherry_MX_1.00u_Plate,1,custom2,
SW31,SW_Cherry_MX_1.00u_Plate,1,ctrl,
SW32,SW_Cherry_MX_1.00u_Plate,1,menu,
SW33,SW_Cherry_MX_1.00u_Plate,1,alt,
"SW34, SW35",SW_Cherry_MX_1.00u_Plate,2,space,
SW4,SW_Cherry_MX_1.00u_Plate,1,1,
SW5,SW_Cherry_MX_1.00u_Plate,1,2,
SW6,SW_Cherry_MX_1.00u_Plate,1,3,
SW7,SW_Cherry_MX_1.00u_Plate,1,4,
SW8,SW_Cherry_MX_1.00u_Plate,1,5,
SW9,SW_Cherry_MX_1.00u_Plate,1,-,
U1,SOT-23,1,LM3480-3.3,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx,
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,8MHz,
