Designator,Mid X,Mid Y,Rotation,Layer
C1,16.79,-29.2,90.0,top
C10,15.7,-46.5,0.0,top
C11,15.7,-44.0,0.0,top
C12,21.8,-53.1,90.0,top
C13,22.1,-48.9,90.0,top
C14,31.8,-48.9,90.0,top
C2,19.8,-29.2,90.0,top
C3,36.18125,-32.05625,180.0,top
C4,36.028125,-24.9125,0.0,top
C5,39.4,-45.8,270.0,top
C6,36.4,-45.8,270.0,top
C7,41.6,-35.8,270.0,top
C8,38.9,-35.8,270.0,top
C9,15.7,-49.2,0.0,top
D1,20.375,-65.90625,270.0,top
D10,25.1375,-73.05,270.0,top
D11,27.51875,-73.05,270.0,top
D12,29.9,-73.05,270.0,top
D13,32.28125,-73.05,270.0,top
D14,34.6625,-73.05,270.0,top
D15,20.375,-80.19375,270.0,top
D16,22.75625,-80.19375,270.0,top
D17,25.1375,-80.19375,270.0,top
D18,27.51875,-80.19375,270.0,top
D19,29.9,-80.19375,270.0,top
D2,22.75625,-65.90625,270.0,top
D20,32.28125,-80.19375,270.0,top
D21,34.6625,-80.19375,270.0,top
D22,20.4,-86.5,270.0,top
D23,22.75625,-86.525,270.0,top
D24,25.1375,-86.525,270.0,top
D25,27.51875,-86.525,270.0,top
D26,29.9,-86.525,270.0,top
D27,32.28125,-86.525,270.0,top
D28,34.6625,-86.5,270.0,top
D29,20.375,-93.35,270.0,top
D3,25.1375,-65.90625,270.0,top
D30,22.75625,-93.35,270.0,top
D31,25.1375,-93.35,270.0,top
D32,27.51875,-93.35,270.0,top
D33,29.9,-93.35,270.0,top
D4,27.51875,-65.90625,270.0,top
D5,29.9,-65.795,270.0,top
D6,32.28125,-65.90625,270.0,top
D7,34.6625,-65.90625,270.0,top
D8,20.375,-73.05,270.0,top
D9,22.75625,-73.05,270.0,top
J1,32.396875,-16.105,180.0,top
J2,17.9,-15.95,0.0,top
J3,18.5,-74.4,0.0,bottom
R1,32.8,-24.8,270.0,top
R2,29.1,-24.8,270.0,top
R3,35.4,-58.9,90.0,top
R4,27.7,-46.1,270.0,top
SW1,18.0,-56.0,270.0,top
SW10,61.015,-58.42875,0.0,top
SW11,80.065,-46.5225,0.0,top
SW12,99.115,-44.14125,0.0,top
SW13,118.165,-41.76,0.0,top
SW14,137.215,-44.14125,0.0,top
SW15,156.4174,-46.5225,0.0,top
SW16,175.315,-46.5225,0.0,top
SW17,61.015,-77.47875,0.0,top
SW18,80.065,-65.5725,0.0,top
SW19,99.115,-63.19125,0.0,top
SW2,39.6,-56.0,90.0,top
SW20,118.165,-60.81,0.0,top
SW21,137.215,-63.19125,0.0,top
SW22,156.265,-65.5725,0.0,top
SW23,175.315,-65.5725,0.0,top
SW24,60.615295,-108.805517,300.0,top
SW25,80.065,-84.61,0.0,top
SW26,99.065,-82.21,0.0,top
SW27,118.165,-79.81,0.0,top
SW28,137.165,-82.21,0.0,top
SW29,156.265,-84.61,0.0,top
SW3,61.015,-39.37875,0.0,top
SW30,175.365,-84.61,0.0,top
SW31,77.665222,-106.915295,30.0,top
SW32,118.165,-98.91,0.0,top
SW33,137.215,-101.29125,0.0,top
SW34,156.265,-103.6725,0.0,top
SW35,175.315,-103.6725,0.0,top
SW4,80.065,-27.4725,0.0,top
SW5,99.115,-25.09125,0.0,top
SW6,118.165,-22.71,0.0,top
SW7,137.215,-25.09125,0.0,top
SW8,156.265,-27.4725,0.0,top
SW9,175.315,-27.4725,0.0,top
U1,36.28125,-28.484375,0.0,top
U2,27.94375,-37.41875,0.0,top
Y1,26.8,-49.9,0.0,top
